Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
"Cole, Allen R.","Cole, Allen R.",House of Representatives District 32,Lost,Won,Independent,Harriman,No,2012,
"Coleman, Quenston","Coleman, Quenston",Senate District 10,Lost,Lost,Democrat,Chattanooga,No,2012,
"Coley, James","Coley, James",House of Representatives District 97,Won,Won,Republican,Bartlett,No,2012,
"Cooksey, W. Rodger","Cooksey, W. Rodger",House of Representatives District 26,Lost,Won,Independent,Hixson,No,2012,
"Cooper, Barbara","Cooper, Barbara",House of Representatives District 86,Won,Won,Democrat,Memphis,No,2012,
"Crandall, John","Crandall, John",House of Representatives District 71,Lost,Won,Independent,Hohenwald,No,2012,
"Crisp, Jane R.","Crisp, Jane R.",House of Representatives District 78,Lost,Lost,Democrat,Pegram,No,2012,
"Currie, Corey","Currie, Corey",House of Representatives District 73,Lost,Lost,Democrat,Jackson,No,2012,
"Curry, Shirley B.","Curry, Shirley B.",House of Representatives District 71,Lost,Lost,Republican,Waynesboro,No,2012,
"Curtiss, Charles","Curtiss, Charles",House of Representatives District 43,Won,Won,Democrat,Sparta,No,2012,
"Day, Lauri","Day, Lauri",House of Representatives District 74,Lost,Lost,Republican,Nashville,No,2012,
"Ddddd, Ddd","Ddddd, Ddd",House of Representatives District 24,Lost,Lost,Republican,Sfgsgf,No,2012,
"Dean, Vince","Dean, Vince",House of Representatives District 30,Won,Won,Republican,East Ridge,No,2012,
"Deberry, Jr., John","Deberry, Jr., John",House of Representatives District 90,Won,Won,Democrat,Memphis,No,2012,
"Deberry, Lois","Deberry, Lois",House of Representatives District 91,Won,Won,Democrat,Memphis,No,2012,
"Degan, Woody","Degan, Woody",Senate District 32,Lost,Lost,Republican,Rossville,No,2012,
"Dennis, Vance","Dennis, Vance",House of Representatives District 71,Won,Won,Republican,Savannah,No,2012,
"Dickerson, Luke E.","Dickerson, Luke E.",House of Representatives District 34,Lost,Won,Democrat,Murfreesboro,No,2012,
"Dickerson, Steven","Dickerson, Steven",Senate District 20,Won,Won,Republican,Nashville,No,2012,
"Dickey, H. Dean","Dickey, H. Dean",Senate District 28,Lost,Lost,Republican,Columbia,No,2012,
"Dockery, Michael","Dockery, Michael",House of Representatives District 17,Lost,Won,Democrat,New Market,No,2012,
"Doss, Barry","Doss, Barry",House of Representatives District 70,Won,Won,Republican,Lawrenceburg,No,2012,
"Dotson, Bruce","Dotson, Bruce",House of Representatives District 2,Lost,Won,Democrat,Kingsport,No,2012,
"Douglas, Spencer","Douglas, Spencer",House of Representatives District 34,Lost,Lost,Democrat,Rockvale,No,2012,
"Drew, Charles E. (Pete)","Drew, Charles E. (Pete)",House of Representatives District 15,Lost,Won,Independent,Knoxville,No,2012,
"Dunham, Robert F.","Dunham, Robert F.",House of Representatives District 43,Lost,Won,Republican,Sparta,No,2012,
"Dunn, Bill","Dunn, Bill",House of Representatives District 16,Won,Won,Republican,Knoxville,No,2012,
"Durham, Jeremy","Durham, Jeremy",House of Representatives District 65,Won,Won,Republican,Franklin,No,2012,
"Duvall, Robert","Duvall, Robert",House of Representatives District 59,Lost,Won,Republican,Antioch,No,2012,
"Eaton, Frank","Eaton, Frank",House of Representatives District 27,Lost,Won,Democrat,Hixson,No,2012,
"Edwards, George","Edwards, George",House of Representatives District 86,Lost,Won,Republican,Millington,No,2012,
"Edwards, Lewis Johnny","Edwards, Lewis Johnny",House of Representatives District 82,Lost,Won,Republican,Ripley,No,2012,
"Elam, Linda","Elam, Linda",House of Representatives District 57,Lost,Lost,Republican,Mt. Juliet,No,2012,
"Eldridge, Jimmy","Eldridge, Jimmy",House of Representatives District 73,Won,Won,Republican,Jackson,No,2012,
"Epperson, Jack L.","Epperson, Jack L.",House of Representatives District 24,Lost,Lost,Republican,Cleveland,No,2012,
"Evans, Joshua","Evans, Joshua",House of Representatives District 66,Won,Won,Republican,Greenbrier,No,2012,
"Ewell, Brock","Ewell, Brock",Senate District 18,Lost,Lost,Republican,Portland,No,2012,
"Farley, Austin","Farley, Austin",House of Representatives District 97,Lost,Lost,Republican,Bartlett,No,2012,
"Farris, Dwight 'Dj'","Farris, Dwight 'Dj'",House of Representatives District 50,Lost,Lost,Republican,Nashville,No,2012,
"Faulk, Mike","Faulk, Mike",Senate District 4,Lost,Lost,Republican,Church Hill,No,2012,
"Favors, Joanne","Favors, Joanne",House of Representatives District 28,Won,Won,Democrat,Chattanooga,No,2012,
"Fischman, Nancy","Fischman, Nancy",House of Representatives District 7,Lost,Won,Democrat,Johnson City,No,2012,
"Fitzhugh, Craig","Fitzhugh, Craig",House of Representatives District 82,Won,Won,Democrat,Ripley,No,2012,
"Floyd, Richard","Floyd, Richard",House of Representatives District 27,Won,Won,Republican,Chattanooga,No,2012,
"Ford, Dale","Ford, Dale",House of Representatives District 6,Lost,Lost,Republican,Jonesborough,No,2012,
"Forgety, John W.","Forgety, John W.",House of Representatives District 23,Won,Won,Republican,Athens,No,2012,
"Garvin, Richard","Garvin, Richard",House of Representatives District 37,Lost,Lost,Republican,Smyrna,No,2012,
"Gill, Evelyn","Gill, Evelyn",Senate District 6,Lost,Lost,Democrat,Knoxville,No,2012,
"Gilmore, Brenda","Gilmore, Brenda",House of Representatives District 54,Won,Won,Democrat,Nashville,No,2012,
"Gladden, Jonathan","Gladden, Jonathan",House of Representatives District 22,Lost,Lost,Democrat,Ocoee,No,2012,
"Glaser, Steven","Glaser, Steven",House of Representatives District 44,Lost,Won,Democrat,Portland,No,2012,
"Goins, Tilman","Goins, Tilman",House of Representatives District 10,Won,Won,Republican,Morristown,No,2012,
"Gotto, Jim","Gotto, Jim",House of Representatives District 60,Lost,Won,Republican,Hermitage,No,2012,
"Gray, Thomas","Gray, Thomas",House of Representatives District 4,Lost,Won,Republican,Elizabethton,No,2012,
"Green, Mark E.","Green, Mark E.",Senate District 22,Won,Won,Republican,Ashland City,No,2012,
"Gresham, Dolores","Gresham, Dolores",Senate District 26,Won,Won,Republican,Somerville,No,2012,
"Griffith, Roger W.","Griffith, Roger W.",House of Representatives District 17,Lost,Lost,Republican,Jefferson City,No,2012,
"Hackworth, Jim","Hackworth, Jim",House of Representatives District 33,Lost,Won,Democrat,Clinton,No,2012,
"Haines, John L.","Haines, John L.",House of Representatives District 78,Lost,Lost,Republican,Kingston Springs,No,2012,
"Halford, Curtis","Halford, Curtis",House of Representatives District 79,Won,Won,Republican,Dyer,No,2012,
"Hall, Dave","Hall, Dave",House of Representatives District 50,Lost,Lost,Republican,Goodlettsville,No,2012,
"Hall, David","Hall, David",Senate District 20,Lost,Lost,Republican,Goodlettsville,No,2012,
"Hall, Steve","Hall, Steve",House of Representatives District 18,Won,Won,Republican,Knoxville,No,2012,
"Hancock, Anthony D.","Hancock, Anthony D.",House of Representatives District 18,Lost,Won,Democrat,Knoxville,No,2012,
"Harmon, Bill","Harmon, Bill",House of Representatives District 37,Lost,Lost,Democrat,Dunlap,No,2012,
"Harper, David R.","Harper, David R.",House of Representatives District 38,Lost,Won,Democrat,Hartsville,No,2012,
"Harrell, James","Harrell, James",House of Representatives District 96,Lost,Lost,Republican,Cordova,No,2012,
"Harrell, Lee","Harrell, Lee",House of Representatives District 66,Lost,Lost,Republican,White House,No,2012,
"Harring, Ryan","Harring, Ryan",House of Representatives District 48,Lost,Lost,Republican,Murfreesboro,No,2012,
"Harrison, Michael","Harrison, Michael",House of Representatives District 9,Won,Won,Republican,Rogersville,No,2012,
"Hart, James","Hart, James",House of Representatives District 75,Lost,Won,Independent,Buchanan,No,2012,
"Harwell, Beth Halteman","Harwell, Beth Halteman",House of Representatives District 56,Lost,Lost,Republican,Nashville,No,2012,
"Hathaway, Rob","Hathaway, Rob",House of Representatives District 61,Lost,Lost,Republican,Franklin,No,2012,
"Hayes, Linda","Hayes, Linda",House of Representatives District 78,Lost,Won,Democrat,White Bluff,No,2012,
"Haynes, Joe","Haynes, Joe",Senate District 20,Lost,Lost,Democrat,Goodlettsville,No,2012,
"Haynes, Ryan","Haynes, Ryan",House of Representatives District 14,Won,Won,Republican,Knoxville,No,2012,
"Hensley, Ted","Hensley, Ted",House of Representatives District 5,Lost,Lost,Republican,Greenville,No,2012,
"Herron, Roy","Herron, Roy",Senate District 24,Lost,Lost,Democrat,Dresden,No,2012,
"Hill, George Thomas","Hill, George Thomas",House of Representatives District 81,Lost,Won,Independent,Brighton,No,2012,
"Hill, Matthew","Hill, Matthew",House of Representatives District 7,Won,Won,Republican,Jonesborough,No,2012,
"Hodges, Wesley D.","Hodges, Wesley D.",House of Representatives District 40,Lost,Lost,Democrat,Gallatin,No,2012,
"Holt, Andrew","Holt, Andrew",House of Representatives District 76,Won,Won,Republican,Dresden,No,2012,
"Horne, Johnny","Horne, Johnny",House of Representatives District 28,Lost,Won,Republican,Chattanooga,No,2012,
"Hughes, Scott","Hughes, Scott",Senate District 2,Lost,Lost,Republican,Seymour,No,2012,
"Hurley, Julia","Hurley, Julia",House of Representatives District 32,Lost,Lost,Republican,Lenoir City,No,2012,
"Hutchison, Tim","Hutchison, Tim",House of Representatives District 89,Lost,Lost,Republican,Powell,No,2012,
"Jackson, Jeanette","Jackson, Jeanette",House of Representatives District 45,Lost,Won,Democrat,Hendersonville,No,2012,
"Johnson, John C.","Johnson, John C.",House of Representatives District 70,Lost,Won,Independent,Lawrenceburg,No,2012,
"Johnson, Phillip","Johnson, Phillip",House of Representatives District 78,Lost,Lost,Republican,Pegram,No,2012,
"Johnston, Louie","Johnston, Louie",House of Representatives District 54,Lost,Won,Independent,Nashville,No,2012,
"Jones, Eddie","Jones, Eddie",House of Representatives District 85,Lost,Lost,Democrat,Memphis,No,2012,
"Jones, Sherry","Jones, Sherry",House of Representatives District 59,Won,Won,Democrat,Nashville,No,2012,
"Jordan, Ashley D.","Jordan, Ashley D.",House of Representatives District 82,Lost,Lost,Republican,Maury City,No,2012,
"Jowers, Danny C.","Jowers, Danny C.",Senate District 24,Lost,Lost,Republican,Kenton,No,2012,
"Kane, Roger","Kane, Roger",House of Representatives District 89,Won,Won,Republican,Knoxville,No,2012,
"Kemp, Donnie","Kemp, Donnie",House of Representatives District 78,Lost,Lost,Republican,Ashland City,No,2012,
"Kernell, Mike","Kernell, Mike",House of Representatives District 93,Lost,Lost,Democrat,Memphis,No,2012,
"Kidwell, Virgil","Kidwell, Virgil",House of Representatives District 36,Lost,Won,Independent,Lafollette,No,2012,
"Kimbro, David L.","Kimbro, David L.",House of Representatives District 22,Lost,Lost,Republican,Cleveland,No,2012,
"Kirk, Leah R.","Kirk, Leah R.",House of Representatives District 3,Lost,Won,Democrat,Bristol,No,2012,
"Kiser, Dennis","Kiser, Dennis",House of Representatives District 65,Lost,Lost,Republican,Spring Hill,No,2012,
"Kyle, Jim","Kyle, Jim",Senate District 30,Won,Won,Democrat,Memphis,No,2012,
"Land, Donald","Land, Donald",House of Representatives District 11,Lost,Lost,Independent,Mohawk,No,2012,
"Lawrence, Kevin","Lawrence, Kevin",Senate District 16,Lost,Lost,Democrat,Viola,No,2012,
"Lewis, Daniel T.","Lewis, Daniel T.",House of Representatives District 52,Lost,Won,Independent,Nashville,No,2012,
"Lewis, Jim","Lewis, Jim",Senate District 16,Lost,Won,Democrat,South Pittsburg,No,2012,
"Loe, Gary","Loe, Gary",House of Representatives District 13,Lost,Won,Republican,Knoxville,No,2012,
"Lollar, Ron","Lollar, Ron",House of Representatives District 99,Won,Won,Republican,Arlington,No,2012,
"Low, Kirk","Low, Kirk",House of Representatives District 78,Lost,Lost,Republican,Pleasant View,No,2012,
"Maddox, Mark","Maddox, Mark",House of Representatives District 76,Lost,Lost,Democrat,Dresden,No,2012,
"Maggart, Debra Young","Maggart, Debra Young",House of Representatives District 45,Lost,Lost,Republican,Hendersonville,No,2012,
"Mallicote, Benjamin K.","Mallicote, Benjamin K.",House of Representatives District 2,Lost,Lost,Republican,Kingsport,No,2012,
"Marceaux, Basil","Marceaux, Basil",House of Representatives District 27,Lost,Lost,Republican,Soddy Daisy,No,2012,
"Marrero, Beverly","Marrero, Beverly",Senate District 30,Lost,Lost,Democrat,Memphis,No,2012,
"Matheny, Judd","Matheny, Judd",House of Representatives District 47,Won,Won,Republican,Tullahoma,No,2012,
"Matheson, Flo","Matheson, Flo",House of Representatives District 25,Lost,Won,Democrat,Crossville,No,2012,
"Matlock, Jimmy","Matlock, Jimmy",House of Representatives District 21,Won,Won,Republican,Lenoir City,No,2012,
"Mcclellan, Rod","Mcclellan, Rod",Senate District 16,Lost,Lost,Republican,Mcminnville,No,2012,
"Mccormick, Gerald","Mccormick, Gerald",House of Representatives District 26,Won,Won,Republican,Chattanooga,No,2012,
"Mcculley, Jr., Joseph T.","Mcculley, Jr., Joseph T.",House of Representatives District 89,Lost,Lost,Republican,Knoxville,No,2012,
"Mcdaniel, Steve","Mcdaniel, Steve",House of Representatives District 72,Won,Won,Republican,Parkers Crossroads,No,2012,
"Mcdonald, Mike","Mcdonald, Mike",House of Representatives District 44,Lost,Lost,Democrat,Portland,No,2012,
"Mcgary, Andrae'","Mcgary, Andrae'",Senate District 10,Lost,Won,Democrat,Chattanooga,No,2012,
"Mckee, Randal L.","Mckee, Randal L.",House of Representatives District 81,Lost,Lost,Republican,Munford,No,2012,
"Mcmanus, Stephen","Mcmanus, Stephen",House of Representatives District 96,Won,Won,Republican,Cordova,No,2012,
"Mcnew, Jack W.","Mcnew, Jack W.",House of Representatives District 32,Lost,Won,Democrat,Harriman,No,2012,
"Mercer, Bradley","Mercer, Bradley",House of Representatives District 5,Lost,Lost,Republican,Afton,No,2012,
"Miller, Don","Miller, Don",House of Representatives District 10,Lost,Lost,Republican,Morristown,No,2012,
"Miller, Jerome Q.","Miller, Jerome Q.",House of Representatives District 14,Lost,Won,Democrat,Knoxville,No,2012,
"Miller, Lawrence G.","Miller, Lawrence G.",House of Representatives District 26,Lost,Lost,Democrat,Hixson,No,2012,
"Miller, Tonya S.","Miller, Tonya S.",House of Representatives District 53,Lost,Lost,Republican,Nashville,No,2012,
"Moneyhun, Bryan","Moneyhun, Bryan",House of Representatives District 16,Lost,Won,Independent,Knoxville,No,2012,
"Monroe, Tona","Monroe, Tona",House of Representatives District 20,Lost,Lost,Republican,Greenback,No,2012,
"Monroe, Travis","Monroe, Travis",House of Representatives District 92,Lost,Lost,Republican,Lewisburg,No,2012,
"Montgomery, Richard","Montgomery, Richard",House of Representatives District 12,Lost,Lost,Republican,Sevierville,No,2012,
"Moore, Calvin","Moore, Calvin",House of Representatives District 70,Lost,Won,Democrat,West Point,No,2012,
"Moore, Gary","Moore, Gary",House of Representatives District 50,Lost,Lost,Democrat,Joelton,No,2012,
"Morgan, Phil","Morgan, Phil",House of Representatives District 11,Lost,Lost,Republican,Newport,No,2012,
"Morrell, Karen Greene","Morrell, Karen Greene",House of Representatives District 3,Lost,Lost,Republican,Bluff City,No,2012,
"Mortensen, Rob","Mortensen, Rob",Senate District 20,Lost,Lost,Republican,Nashville,No,2012,
"Mullins, Terry","Mullins, Terry",House of Representatives District 81,Lost,Lost,Republican,Munford,No,2012,
"Naifeh, Jimmy","Naifeh, Jimmy",House of Representatives District 81,Lost,Lost,Democrat,Covington,No,2012,
"New, Robert 'Bob'","New, Robert 'Bob'",House of Representatives District 37,Lost,Won,Democrat,Smyrna,No,2012,
"Norris, Mark","Norris, Mark",Senate District 32,Won,Won,Republican,Collierville,No,2012,
"North, Phillip L.","North, Phillip L.",Senate District 20,Lost,Won,Democrat,Nashville,No,2012,
"Oakes, Mark S.","Oakes, Mark S.",House of Representatives District 77,Lost,Won,Democrat,Dyersburg,No,2012,
"Odom, Gary","Odom, Gary",House of Representatives District 55,Won,Won,Democrat,Nashville,No,2012,
"Overbey, Doug","Overbey, Doug",Senate District 2,Won,Won,Republican,Maryville,No,2012,
"Parker, Suzanne E.","Parker, Suzanne E.",House of Representatives District 3,Lost,Won,Independent,Bluff City,No,2012,
"Parr, Don","Parr, Don",House of Representatives District 70,Lost,Lost,Republican,Pulaski,No,2012,
"Parsons, Kevin","Parsons, Kevin",House of Representatives District 3,Lost,Lost,Republican,Mountain City,No,2012,
"Pierce, William G. 'Bo'","Pierce, William G. 'Bo'",House of Representatives District 89,Lost,Lost,Republican,Knoxville,No,2012,
"Pitts, Joe","Pitts, Joe",House of Representatives District 67,Won,Won,Democrat,Clarksville,No,2012,
"Potts, Jason","Potts, Jason",House of Representatives District 53,Lost,Lost,Democrat,Nashville,No,2012,
"Price, Scott","Price, Scott",House of Representatives District 47,Lost,Won,Democrat,Tullahoma,No,2012,
"Pruitt, Mary","Pruitt, Mary",House of Representatives District 58,Lost,Lost,Democrat,Nashville,No,2012,
"Ramsey, Marjorie","Ramsey, Marjorie",House of Representatives District 11,Lost,Won,Democrat,Newport,No,2012,
"Ramsey, Robert (Bob)","Ramsey, Robert (Bob)",House of Representatives District 20,Won,Won,Republican,Maryville,No,2012,
"Ramsey, Ron","Ramsey, Ron",Senate District 4,Won,Won,Republican,Blountville,No,2012,
"Randolph, Ian L.","Randolph, Ian L.",House of Representatives District 90,Lost,Lost,Democrat,Memphis,No,2012,
"Randolph, Matt","Randolph, Matt",Senate District 14,Lost,Lost,Republican,Ardmore,No,2012,
"Ray, Gary Lynn","Ray, Gary Lynn",House of Representatives District 78,Lost,Lost,Republican,Chapmansboro,No,2012,
"Remus, Hendrell","Remus, Hendrell",House of Representatives District 84,Lost,Lost,Democrat,Memphis,No,2012,
"Rice, Hobart L.","Rice, Hobart L.",Senate District 8,Lost,Lost,Republican,Dandridge,No,2012,
"Rice, Meryl","Rice, Meryl",Senate District 26,Lost,Won,Democrat,Whiteville,No,2012,
"Rich, Barrett","Rich, Barrett",House of Representatives District 94,Won,Won,Republican,Somerville,No,2012,
"Richardson, Jeanne","Richardson, Jeanne",House of Representatives District 90,Lost,Lost,Democrat,Memphis,No,2012,
"Roach, Dennis (Coach)","Roach, Dennis (Coach)",House of Representatives District 35,Won,Won,Republican,Rutledge,No,2012,
"Roberts, Jacques","Roberts, Jacques",House of Representatives District 98,Lost,Won,Independent,Memphis,No,2012,
"Rogers, Courtney L.","Rogers, Courtney L.",House of Representatives District 45,Won,Won,Republican,Goodlettsville,No,2012,
"Roller, Steve","Roller, Steve",Senate District 16,Lost,Lost,Democrat,Mcminville,No,2012,
"Sanderson, Bill","Sanderson, Bill",House of Representatives District 77,Won,Won,Republican,Kenton,No,2012,
"Sargent, Jr., Charles","Sargent, Jr., Charles",House of Representatives District 61,Won,Won,Republican,Franklin,No,2012,
"Schoenberger, Candis","Schoenberger, Candis",House of Representatives District 95,Lost,Lost,Democrat,Germantown,No,2012,
"Shann, Susan","Shann, Susan",House of Representatives District 55,Lost,Won,Independent,Nashville,No,2012,
"Shepard, David","Shepard, David",House of Representatives District 69,Won,Won,Democrat,Dickson,No,2012,
"Shipley, Tony","Shipley, Tony",House of Representatives District 2,Lost,Lost,Republican,Kingsport,No,2012,
"Sloan, Jon Roy","Sloan, Jon Roy",House of Representatives District 69,Lost,Lost,Republican,Dickson,No,2012,
"Smith, Artie","Smith, Artie",House of Representatives District 98,Lost,Lost,Independent,Memphis,No,2012,
"Smith, Sandy Norris","Smith, Sandy Norris",House of Representatives District 30,Lost,Won,Democrat,East Ridge,No,2012,
"Smith, Sarah","Smith, Sarah",House of Representatives District 40,Lost,Lost,Democrat,Carthage,No,2012,
"Sontany, Janis Baird","Sontany, Janis Baird",House of Representatives District 53,Lost,Lost,Democrat,Nashville,No,2012,
"Spivey, Billy","Spivey, Billy",House of Representatives District 92,Lost,Lost,Republican,Lewisburg,No,2012,
"Stephens, Tom","Stephens, Tom",House of Representatives District 99,Lost,Lost,Republican,Millington,No,2012,
"Steward, Nick","Steward, Nick",House of Representatives District 74,Lost,Lost,Republican,Brandywine,No,2012,
"Stewart, Bobby","Stewart, Bobby",House of Representatives District 41,Lost,Won,Republican,Sunbright,No,2012,
"Stewart, Eric","Stewart, Eric",Senate District 14,Lost,Lost,Democrat,Belvidere,No,2012,
"Stewart, Mike","Stewart, Mike",House of Representatives District 52,Won,Won,Democrat,Nashville,No,2012,
"Stoltzfus, Ron","Stoltzfus, Ron",Senate District 16,Lost,Lost,Republican,Winchester,No,2012,
"Taft, Larry C.","Taft, Larry C.",House of Representatives District 92,Lost,Lost,Republican,Taft,No,2012,
"Testerman, David","Testerman, David",Senate District 10,Lost,Lost,Democrat,Chattanooga,No,2012,
"Thompson, Brad","Thompson, Brad",Senate District 24,Lost,Won,Democrat,Union City,No,2012,
"Tidwell, John","Tidwell, John",House of Representatives District 74,Won,Won,Democrat,New Johnsonville,No,2012,
"Tipton, Anita","Tipton, Anita",House of Representatives District 92,Lost,Lost,Democrat,South Pittsburg,No,2012,
"Todd, Curry","Todd, Curry",House of Representatives District 95,Won,Won,Republican,Memphis,No,2012,
"Tracy, Jim","Tracy, Jim",Senate District 14,Won,Won,Republican,Murfreesboro,No,2012,
"Turner, Johnnie R.","Turner, Johnnie R.",House of Representatives District 85,Won,Won,Democrat,Memphis,No,2012,
"Turner, Michael L. (Mike)","Turner, Michael L. (Mike)",House of Representatives District 51,Won,Won,Democrat,Old Hickory,No,2012,
"Turner, Steven","Turner, Steven",House of Representatives District 58,Lost,Lost,Democrat,Nashville,No,2012,
"Van Huss, Micah","Van Huss, Micah",House of Representatives District 6,Won,Won,Republican,Gray,No,2012,
"Vital (2012), Greg A.","Vital (2012), Greg A.",Senate District 10,Lost,Lost,Republican,Chattanooga,No,2012,
"Waggoner, Derrick","Waggoner, Derrick",House of Representatives District 43,Lost,Lost,Republican,Gruetli-Laager,No,2012,
"Wall, Peggy Hall","Wall, Peggy Hall",House of Representatives District 23,Lost,Won,Democrat,Niota,No,2012,
"Walling, Justin","Walling, Justin",Senate District 16,Lost,Lost,Democrat,Spencer,No,2012,
"Warner, Mike","Warner, Mike",House of Representatives District 67,Lost,Won,Independent,Clarksville,No,2012,
"Watson, Eric","Watson, Eric",House of Representatives District 22,Lost,Lost,Republican,Cleveland,No,2012,
"Weaver, Terri Lynn","Weaver, Terri Lynn",House of Representatives District 40,Won,Won,Republican,Lancaster,No,2012,
"White, Brian D.","White, Brian D.",House of Representatives District 30,Lost,Lost,Democrat,Chattanooga,No,2012,
"White, Thomas L.","White, Thomas L.",House of Representatives District 3,Lost,Lost,Republican,Blountville,No,2012,
"White, Wayne","White, Wayne",House of Representatives District 69,Lost,Won,Republican,Slayden,No,2012,
"Williams, Micheal","Williams, Micheal",Senate District 8,Lost,Lost,Independent,Maynardville,No,2012,
"Williams, Mike R.","Williams, Mike R.",House of Representatives District 49,Lost,Won,Democrat,Smyrna,No,2012,
"Williams, W. Kent","Williams, W. Kent",House of Representatives District 4,Won,Won,Independent,Elizabethton,No,2012,
"Williamson, Charles","Williamson, Charles",House of Representatives District 50,Lost,Won,Republican,Goodlettsville,No,2012,
"Willoughby, Thomas","Willoughby, Thomas",House of Representatives District 42,Lost,Won,Democrat,Cookeville,No,2012,
"Wilson, Rick","Wilson, Rick",House of Representatives District 78,Lost,Won,Independent,Pleasant View,No,2012,
"Windle, John Mark","Windle, John Mark",House of Representatives District 41,Won,Won,Democrat,Livingston,No,2012,
"Wirgau, Timothy","Wirgau, Timothy",House of Representatives District 75,Won,Won,Republican,Paris,No,2012,
"Womick, Rick","Womick, Rick",House of Representatives District 34,Won,Won,Republican,Rockvale,No,2012,
"Wood, Jr., John Paul","Wood, Jr., John Paul",House of Representatives District 78,Lost,Lost,Republican,Pleasant View,No,2012,
"Woodson, Jamie","Woodson, Jamie",Senate District 6,Lost,Lost,Republican,Lebanon,No,2012,
"Wright, Steve R.","Wright, Steve R.",House of Representatives District 75,Lost,Won,Democrat,Springville,No,2012,
"Yokley, Eddie","Yokley, Eddie",House of Representatives District 5,Lost,Won,Democrat,Greeneville,No,2012,
"Young, Kenny","Young, Kenny",House of Representatives District 65,Lost,Lost,Republican,Franklin,No,2012,
"Johnson, Gloria","Johnson, Gloria",Senate District 6,Lost,Won,Democrat,Knoxville,Yes,2011,
"Massey, Rebecca Duncan","Massey, Rebecca Duncan",Senate District 6,Lost,Won,Republican,Knoxville,Yes,2011,
"Roberts, Kerry","Roberts, Kerry",Senate District 18,Won,Won,Republican,Springfield,Yes,2011,
"Slater, William","Slater, William",Senate District 18,Lost,Lost,Republican,Gallatin,Yes,2011,
"Bondurant, Bryan","Bondurant, Bryan",Senate District 18,Lost,Lost,Republican,Gallatin,No,2011,
"Congdon, Fred E.","Congdon, Fred E.",Senate District 18,Lost,Lost,Republican,Gallatin,No,2011,
"Defreese, Victoria","Defreese, Victoria",Senate District 6,Lost,Lost,Republican,Knoxville,No,2011,
"Foster, Jannie C.","Foster, Jannie C.",House of Representatives District 98,Lost,Lost,Democrat,Memphis,No,2011,
"Gatewood, Stephanie","Gatewood, Stephanie",House of Representatives District 98,Lost,Lost,Democrat,Memphis,No,2011,
"Jones, Joe Warren","Jones, Joe Warren",Senate District 18,Lost,Lost,Republican,Gallatin,No,2011,
"Oats-Williams, Brenda","Oats-Williams, Brenda",House of Representatives District 98,Lost,Lost,Democrat,Memphis,No,2011,
"Roddy, Marilyn","Roddy, Marilyn",Senate District 6,Lost,Lost,Republican,Knoxville,No,2011,
"Stromatt, Jeff","Stromatt, Jeff",Senate District 18,Lost,Lost,Republican,Goodlettsville,No,2011,
"Wilber, Ken","Wilber, Ken",Senate District 18,Lost,Won,Democrat,Portland,No,2011,
"Camper, Karen","Camper, Karen",House of Representatives District 87,Won,Won,Democrat,Memphis,Yes,2010,
"Crowe, Rusty","Crowe, Rusty",Senate District 3,Won,Won,Republican,Johnson City,Yes,2010,
"Faison, Jeremy","Faison, Jeremy",House of Representatives District 11,Won,Won,Republican,Cosby,Yes,2010,
"Hardaway, G. A.","Hardaway, G. A.",House of Representatives District 92,Won,Won,Democrat,Memphis,Yes,2010,
"Hawk, David","Hawk, David",House of Representatives District 5,Won,Won,Republican,Greeneville,Yes,2010,
"Hensley, Joey","Hensley, Joey",House of Representatives District 70,Won,Won,Republican,Hohenwald,Yes,2010,
"Hill, Timothy","Hill, Timothy",House of Representatives District 3,Lost,Lost,Republican,Blountville,Yes,2010,
"Johnson, Curtis","Johnson, Curtis",House of Representatives District 68,Won,Won,Republican,Clarksville,Yes,2010,
"Johnson, Jack","Johnson, Jack",Senate District 23,Won,Won,Republican,Brentwood,Yes,2010,
"Keisling, Kelly","Keisling, Kelly",House of Representatives District 38,Won,Won,Republican,Byrdstown,Yes,2010,
"Lundberg, Jon","Lundberg, Jon",House of Representatives District 1,Won,Won,Republican,Bristol,Yes,2010,
"Lynn, Susan","Lynn, Susan",Senate District 17,Lost,Lost,Republican,Lebanon,Yes,2010,
"Marsh, Pat","Marsh, Pat",House of Representatives District 62,Won,Won,Republican,Shelbyville,Yes,2010,
"Mcnally, Randy","McNally, Randy",Senate District 5,Won,Won,Republican,Oak Ridge,Yes,2010,
"Miller, Larry","Miller, Larry",House of Representatives District 88,Won,Won,Democrat,Memphis,Yes,2010,
"Niceley, Frank","Niceley, Frank",House of Representatives District 17,Won,Won,Republican,Strawberry Plains,Yes,2010,
"Pody, Mark","Pody, Mark",House of Representatives District 46,Won,Won,Republican,Lebanon,Yes,2010,
"Powers, Dennis","Powers, Dennis",House of Representatives District 36,Won,Won,Republican,Jacksboro,Yes,2010,
"Ragan, John","Ragan, John",House of Representatives District 33,Won,Won,Republican,Oak Ridge,Yes,2010,
"Sexton, Cameron","Sexton, Cameron",House of Representatives District 25,Won,Won,Republican,Crossville,Yes,2010,
"Shaw, Johnny","Shaw, Johnny",House of Representatives District 80,Won,Won,Democrat,Brownsville,Yes,2010,
"Southerland, Steve","Southerland, Steve",Senate District 1,Won,Won,Republican,Morristown,Yes,2010,
